DYRK1A,ITSN1,BDNF,NR1,NR2A,pAKT,pBRAF,pCAMKII,pCREB,pELK,pERK,pJNK,PKCA,pMEK,pNR1,pNR2A,pNR2B,pPKCAB,pRSK,AKT,BRAF,CAMKII,CREB,ELK,ERK,GSK3B,JNK,MEK,TRKA,RSK,APP,Bcatenin,SOD1,MTOR,P38,pMTOR,DSCR1,AMPKA,NR2B,pNUMB,RAPTOR,TIAM1,pP70S6,NUMB,P70S6,pGSK3B,pPKCG,CDK5,S6,ADARB1,AcetylH3K9,RRP1,BAX,ARC,ERBB4,nNOS,Tau,GFAP,GluR3,GluR4,IL1B,P3525,pCASP9,PSD95,SNCA,Ubiquitin,pGSK3B_Tyr216,SHH,pS6,SYP,CaNA,class_label
0.4254,0.5871,0.242,1.7409,2.489,0.1731,0.159,1.7871,0.1676,1.1867,0.4652,0.218,0.2626,0.1926,0.6425,0.4162,1.0925,1.6131,0.3945,0.5569,0.3099,0.3067,0.1528,0.9571,1.576,1.0213,0.2035,0.1992,0.5085,0.1354,0.376,1.4529,0.2693,0.3282,0.3179,0.2991,0.2478,0.3231,0.2669,0.2999,0.2685,0.3789,0.4431,0.1623,0.6867,0.1415,2.1119,0.229,0.4368,0.5583,0.37,0.1871,0.1562,0.0952,0.143,0.1589,0.1935,0.1266,0.195,0.093,0.4815,0.3022,1.1638,1.696,0.1715,1.0697,0.7593,0.2197,0.0952,0.306,1.0708,1
0.2697,0.4081,0.3172,2.1387,3.045,0.3144,0.225,5.3216,0.2259,1.3475,0.4572,0.3912,0.3069,0.3488,0.815,1.0462,1.5772,1.105,0.5272,0.6963,0.2991,0.4072,0.2009,0.9534,1.7112,0.8909,0.2559,0.2916,0.6394,0.2159,0.3862,1.825,0.7419,0.5513,0.6556,0.96,0.7131,0.3644,0.6759,0.3706,0.435,0.4978,0.5238,0.1458,0.8706,0.1568,1.7811,0.3211,0.3054,0.7524,0.1455,0.1848,0.1534,0.1218,0.1749,0.1711,0.1774,0.139,0.331,0.1774,0.7006,0.327,1.9258,2.5977,0.2189,1.4788,0.8603,0.2476,0.1218,0.4842,1.0493,0
0.4379,0.7053,0.418,2.7968,5.4608,0.2799,0.1908,6.4558,0.2835,1.4171,0.4478,0.3746,0.4355,0.3461,0.9597,0.8656,1.9322,2.1006,0.5176,0.8421,0.3381,0.4012,0.2166,1.6762,3.6404,1.3384,0.2686,0.3336,0.9071,0.1748,0.547,3.1013,0.5948,0.5469,0.4663,0.9396,0.6544,0.4784,0.6818,0.4376,0.3742,0.5533,0.6716,0.1918,1.0345,0.1683,2.2639,0.3174,0.5122,1.7896,0.25,0.1531,0.1964,0.149,0.1823,0.2199,0.2161,0.119,0.1973,0.1352,0.4785,0.3409,1.7261,2.3924,0.1674,1.5111,0.901,0.2419,0.149,0.4751,1.1946,1
0.3113,0.5176,0.3301,2.2512,3.0812,0.2979,0.2381,2.5866,0.2461,1.4128,0.4682,0.3438,0.2881,0.3327,0.7997,0.6786,1.5098,1.1173,0.4435,0.8057,0.4244,0.4583,0.2301,1.089,2.0717,1.0714,0.2827,0.3083,0.7161,0.2271,0.333,1.9193,0.9747,0.4622,0.4262,0.7628,0.661,0.3417,0.6363,0.297,0.3131,0.3527,0.3583,0.1435,0.9002,0.1598,1.329,0.2853,0.2832,1.2145,0.0723,0.1642,0.1513,0.1375,0.1704,0.1901,0.1963,0.1321,0.1925,0.0903,0.7106,0.3213,1.7638,2.4122,0.1973,1.3,1.0035,0.3391,0.1375,0.4749,1.3008,0
0.2997,0.424,0.3096,2.2227,3.2197,0.2581,0.1909,3.2381,0.1835,1.2805,0.3083,0.3021,0.3088,0.2805,0.8443,0.7317,1.5189,1.1928,0.4152,0.832,0.2824,0.3928,0.2059,1.0347,1.8171,0.9019,0.2296,0.2461,0.5829,0.1795,0.3779,1.7741,0.7893,0.5685,0.6141,0.8941,0.6624,0.4203,0.6576,0.3173,0.3981,0.4341,0.4995,0.1435,0.7116,0.1364,1.3169,0.2194,0.2222,1.1245,0.1294,0.1351,0.1493,0.1304,0.1612,0.1971,0.1745,0.1188,0.2046,0.1082,0.6007,0.3043,1.4972,2.0995,0.1987,1.2607,0.7635,0.2587,0.1304,0.3656,0.9937,0
0.2108,0.3385,0.2509,1.8983,3.0188,0.1949,0.1549,3.0801,0.1878,0.8953,0.2566,0.247,0.2844,0.2302,0.7735,0.657,1.3236,0.7802,0.422,0.6914,0.1918,0.304,0.1701,1.1192,1.7465,0.7157,0.1952,0.2095,0.5179,0.1407,0.3011,1.7996,0.6288,0.4086,0.4353,0.6833,0.486,0.2974,0.5325,0.2615,0.2989,0.3275,0.3186,0.1557,0.8513,0.1479,1.23,0.2516,0.4823,0.9283,1.0866,0.1804,0.1567,0.1291,0.1721,0.163,0.4733,0.1271,0.244,0.1273,0.6656,0.2654,1.5376,2.279,0.1716,1.107,0.6975,0.2017,0.1291,0.4061,1.0348,0
0.8075,0.9253,0.3348,2.328,4.018,0.2064,0.1652,2.2801,0.2174,1.841,0.9387,0.2532,0.3261,0.249,0.7822,0.449,1.5048,1.7809,0.4597,0.5997,0.6768,0.3242,0.171,1.171,2.6384,1.4175,0.2506,0.2695,0.7794,0.1612,0.4682,2.3075,0.3115,0.3907,0.2984,0.6359,0.5243,0.3305,0.502,0.2884,0.2552,0.3856,0.3168,0.1758,0.8719,0.1456,1.5407,0.2897,0.3969,0.9332,0.1692,0.1319,0.1699,0.1021,0.1421,0.1976,0.1842,0.1006,0.2217,0.1171,0.4979,0.2637,1.3254,2.4122,0.1118,0.8996,0.8823,0.1987,0.1021,0.3727,1.8059,1
0.417,0.6542,0.3112,2.4911,4.1727,0.1976,0.1576,2.8783,0.2052,1.1547,0.5259,0.2677,0.3538,0.2429,0.8707,0.5509,1.5838,1.9954,0.5081,0.6998,0.3332,0.3275,0.1477,1.3778,2.7712,1.2937,0.2292,0.2643,0.705,0.1448,0.3663,2.363,0.2837,0.4015,0.3491,0.6941,0.4436,0.3595,0.4656,0.38,0.2671,0.3728,0.3178,0.2198,1.1488,0.2032,2.3123,0.3589,0.6133,1.068,0.1575,0.1714,0.2089,0.1148,0.1533,0.1831,0.161,0.1239,0.2807,0.1444,0.4988,0.2957,1.892,2.3415,0.1417,1.1045,0.9882,0.2237,0.1148,0.4336,1.8968,0
0.3518,0.5923,0.3889,3.1477,5.7535,0.2641,0.2051,4.2899,0.2684,1.2839,0.378,0.3665,0.3224,0.3187,1.1609,1.1385,2.1801,1.3501,0.4656,0.9328,0.277,0.4055,0.1862,1.7596,3.4832,1.2488,0.2684,0.3251,0.8871,0.1835,0.4243,3.2272,1.0407,0.5483,0.4564,0.9732,0.5455,0.4545,0.7301,0.3212,0.3513,0.4746,0.3707,0.2225,1.0055,0.1448,1.5146,0.3126,0.3597,1.6864,0.077,0.142,0.1918,0.1435,0.1716,0.2389,0.1794,0.1062,0.2281,0.1225,0.5179,0.3144,1.812,2.618,0.1631,1.3289,0.8002,0.2135,0.1435,0.558,1.1638,0
0.4169,0.564,0.3277,2.2601,4.2687,0.2148,0.1797,2.008,0.1898,1.4246,0.5011,0.283,0.3589,0.2564,0.8186,0.4785,1.4094,1.857,0.4896,0.6281,0.3607,0.3607,0.1718,1.0774,2.5502,1.3166,0.2506,0.2654,0.6766,0.1596,0.3755,2.2812,0.3282,0.4072,0.3228,0.6952,0.525,0.3401,0.5098,0.3383,0.2985,0.393,0.4404,0.1478,0.6819,0.1746,1.7958,0.2885,0.2886,1.1521,0.1524,0.1545,0.1829,0.0995,0.1402,0.1587,0.1196,0.1162,0.2468,0.1344,0.4511,0.2414,1.3861,1.9695,0.1169,0.9435,0.844,0.1916,0.0995,0.3825,1.6527,0
